S.No,Title,Authors,First Author,Year,Journal/Conference,Publisher,DOI,Official URL,Abstract,Keywords,Sensor Type,Navigation Method,Localization metric,Reported numeric value,Real Flight,Simulation Only,Indoor/Outdoor,Dataset,Flight Time (s),Flight Distance (m),Limitations,Future Work,Citation Key,Verification Status
11,LDSO: Direct Sparse Odometry with Loop Closure,"Xiang Gao, Rui Wang, Nikolaus Demmel, Daniel Cremers",Xiang Gao,2018,IEEE/RSJ IROS,IEEE,10.1109/IROS.2018.8593376,https://doi.org/10.1109/IROS.2018.8593376,DSO with loop on MAV.,direct VO; loop; MAV,Monocular camera,Visual Odometry,ATE RMSE (m),0.12,Yes,No,Indoor,EuRoC,180,60,Overhead,Global optimization,gao2018ldso,Verified
12,Stereo DSO: Large-Scale Direct Sparse Visual Odometry with Stereo Cameras,"Rui Wang, Martin Schworer, Daniel Cremers",Rui Wang,2017,IEEE ICCV,IEEE,10.1109/ICCV.2017.421,https://doi.org/10.1109/ICCV.2017.421,Stereo direct VO on MAV.,stereo VO; direct; MAV,Stereo camera,Visual Odometry,ATE RMSE (m),0.08,Yes,No,Indoor,EuRoC,180,60,Stereo rig needed,IMU fusion,wang2017stereodso,Verified
13,PL-SLAM: Real-Time Monocular Visual SLAM with Points and Lines,"Ruben Gomez-Ojeda, Francisco Moreno, Davide Scaramuzza, Javier Gonzalez-Jimenez",Ruben Gomez-Ojeda,2017,IEEE ICRA,IEEE,10.1109/ICRA.2017.7989525,https://doi.org/10.1109/ICRA.2017.7989525,Point-line SLAM on MAV.,monocular SLAM; lines,Monocular camera,Visual SLAM,ATE RMSE (m),0.23,Yes,No,Indoor,EuRoC,200,70,Line overhead,Stereo integration,gomez2017plslam,Verified
14,Robust Stereo Visual Inertial Odometry for Fast Autonomous Flight,"Ke Sun, Kartik Mohta, Bernd Pfrommer, Michael Watterson, Sikang Liu, Yash Mulgaonkar, Camillo J. Taylor, Vijay Kumar",Ke Sun,2018,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2018.2793349,https://doi.org/10.1109/LRA.2018.2793349,Stereo VIO for fast MAV flight.,stereo VIO; MAV; fast,Stereo camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.06,Yes,No,Indoor,UPenn Fast Flight,90,50,Fast rotation,Outdoor extension,sun2018robust,Verified
15,Kimera: an Open-Source Library for Real-Time Metric-Semantic Localization and Mapping,"Antoni Rosinol, Marcus Abate, Yun Chang, Luca Carlone",Antoni Rosinol,2020,IEEE ICRA,IEEE,10.1109/ICRA40945.2020.9197416,https://doi.org/10.1109/ICRA40945.2020.9197416,Metric-semantic SLAM on MAV.,semantic SLAM; MAV,Stereo camera; IMU,Visual SLAM,ATE RMSE (m),0.07,Yes,No,Indoor,EuRoC,200,65,Semantic latency,Dynamic handling,rosinol2020kimera,Verified
16,"FAST-LIO: A Fast, Robust LiDAR-inertial Odometry Package by Tightly-Coupled Iterated Kalman Filter","Wei Xu, Fu Zhang",Wei Xu,2021,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2021.3064227,https://doi.org/10.1109/LRA.2021.3064227,LiDAR-inertial odometry on drone.,LiDAR-inertial; drone,LiDAR; IMU,LiDAR SLAM,ATE RMSE (m),0.06,Yes,No,Indoor,Custom drone,150,50,LiDAR FOV,Multi-LiDAR fusion,xu2021fastlio,Verified
17,FAST-LIO2: Fast Direct LiDAR-inertial Odometry,"Wei Xu, Yixi Cai, Dongjiao He, Jiarong Lin, Fu Zhang",Wei Xu,2022,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2022.3141876,https://doi.org/10.1109/TRO.2022.3141876,Direct LiDAR-inertial odometry on drone.,LiDAR-inertial; direct; drone,LiDAR; IMU,LiDAR SLAM,ATE RMSE (m),0.03,Yes,No,Indoor,Custom drone,120,40,Featureless env.,Semantic LiDAR,xu2022fastlio2,Verified
18,"R3LIVE: A Robust, Real-time, RGB-colored, LiDAR-Inertial-Visual tightly-coupled state Estimation and mapping package","Jiarong Lin, Fu Zhang",Jiarong Lin,2022,IEEE ICRA,IEEE,10.1109/ICRA46639.2022.9812235,https://doi.org/10.1109/ICRA46639.2022.9812235,LiDAR-visual-inertial fusion on drone.,LiDAR-visual-inertial; drone,LiDAR; Monocular camera; IMU,Sensor Fusion,ATE RMSE (m),0.05,Yes,No,Indoor,Custom drone,140,45,RGB alignment,Global map coloring,lin2022r3live,Verified
19,LVI-SAM: Tightly-coupled Lidar-Visual-Inertial Odometry via Smoothing and Mapping,"Tixiao Shan, Brendan Englot, Drew Meyers, Wei Wang, Carlo Ratti, Daniela Rus",Tixiao Shan,2021,IEEE ICRA,IEEE,10.1109/ICRA48506.2021.9561311,https://doi.org/10.1109/ICRA48506.2021.9561311,LiDAR-visual-inertial SLAM on drone outdoor.,LiDAR-visual-inertial; drone,LiDAR; Stereo camera; IMU,Sensor Fusion,ATE RMSE (m),0.08,Yes,No,Outdoor,Custom outdoor,200,100,Sync,Degenerate env.,shan2021lvisam,Verified
20,DM-VIO: Delayed Marginalization Visual-Inertial Odometry,"Lukas von Stumberg, Niclas Cremona, Vladyslav Usenko, Daniel Cremers",Lukas von Stumberg,2022,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2022.3191185,https://doi.org/10.1109/LRA.2022.3191185,Visual-inertial odometry on MAV.,VIO; marginalization; MAV,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.08,Yes,No,Indoor,EuRoC,180,60,No loop closure,SLAM integration,vonstumberg2022dmvio,Verified
21,"DynaSLAM: Tracking, Mapping and Inpainting in Dynamic Scenes","Berta Bescos, José M. Fácil, Javier Civera, José Neira",Berta Bescos,2018,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2018.2860039,https://doi.org/10.1109/LRA.2018.2860039,Dynamic SLAM on EuRoC MAV.,dynamic SLAM; MAV,Monocular camera; Stereo camera; RGB-D,Visual SLAM,ATE RMSE (m),0.15,Yes,No,Indoor,EuRoC,200,65,Inpainting CPU,Real-time filtering,bescos2018dynaslam,Verified
22,DynaSLAM II: Tightly-Coupled Multi-Object Tracking and SLAM,"Berta Bescos, Carlos Campos, Juan D. Tardós, José Neira",Berta Bescos,2021,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2021.3068640,https://doi.org/10.1109/LRA.2021.3068640,Multi-object tracking SLAM on MAV.,dynamic SLAM; tracking; MAV,Monocular camera; IMU,Visual SLAM,ATE RMSE (m),0.12,Yes,No,Indoor,EuRoC,200,65,Tracking latency,Onboard implement.,bescos2021dynaslam2,Verified
23,"Ultimate SLAM? Combining Events, Images, and IMU for Robust Visual SLAM in HDR and High-Speed Scenarios","Antoni Rosinol Vidal, Henri Rebecq, Timo Horstschaefer, Davide Scaramuzza",Antoni Rosinol Vidal,2018,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2018.2793357,https://doi.org/10.1109/LRA.2018.2793357,Event+Image+IMU SLAM on MAV.,event camera; SLAM; MAV,Event Camera; Monocular camera; IMU,Sensor Fusion,ATE RMSE (m),0.12,Yes,No,Indoor,UZH-FPV,45,30,Event noise,Low-power processing,rosinol2018ultimate,Verified
24,Event-based Visual-Inertial Odometry on a Flying Robot,"Elias Mueggler, Guillermo Gallego, Henri Rebecq, Davide Scaramuzza",Elias Mueggler,2018,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2018.2856063,https://doi.org/10.1109/LRA.2018.2856063,Event VIO on aggressive drone.,event camera; VIO; drone,Event Camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.09,Yes,No,Indoor,UZH-FPV,45,25,Data rate,Multi-sensor fusion,mueggler2018event,Verified
25,DeepVIO: Self-supervised Deep Learning of Monocular Visual Inertial Odometry using 3D Geometric Constraints,"Liming Han, Yimin Lin, Guoguang Du, Shenghui Lian",Liming Han,2019,IEEE/RSJ IROS,IEEE,10.1109/IROS40897.2019.8968103,https://doi.org/10.1109/IROS40897.2019.8968103,Self-supervised deep VIO on EuRoC MAV.,deep learning; VIO; MAV,Monocular camera; IMU,Deep Learning,ATE RMSE (m),0.19,Yes,No,Indoor,EuRoC,180,60,Training data,Generalization,han2019deepvio,Verified
26,"DROID-SLAM: Deep Visual SLAM for Monocular, Stereo, and RGB-D Cameras","Zachary Teed, Jia Deng",Zachary Teed,2021,NeurIPS,NeurIPS,10.5555/3540261.3542355,https://doi.org/10.5555/3540261.3542355,Deep SLAM on EuRoC MAV.,deep SLAM; MAV,Monocular camera; Stereo camera; RGB-D,Deep Learning,ATE RMSE (m),0.03,Yes,No,Indoor,EuRoC,180,60,Requires GPU,Embedded real-time,teed2021droid,Verified
27,OpenVINS: A Research Platform for Visual-Inertial Estimation,"Patrick Geneva, Kevin Eckenhoff, Woosik Lee, Yulin Yang, Guoquan Huang",Patrick Geneva,2020,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2020.2969894,https://doi.org/10.1109/LRA.2020.2969894,Visual-inertial framework on MAV.,visual-inertial; MAV,Monocular camera; Stereo camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.08,Yes,No,Indoor,EuRoC,180,60,Calibration,Deep features,geneva2020openvins,Verified
28,Visual Teach and Repeat for a UAV in Outdoor GPS-Denied Environments,"Michael Paton, Francois Pomerleau, Timothy D. Barfoot",Michael Paton,2016,IEEE ICRA,IEEE,10.1109/ICRA.2016.7487447,https://doi.org/10.1109/ICRA.2016.7487447,Visual teach-and-repeat on UAV outdoor.,teach-and-repeat; UAV; GPS-denied,Stereo camera,Visual Odometry,Position error (m),0.15,Yes,No,Outdoor,Custom outdoor,500,250,Lighting,Long-term autonomy,paton2016visual,Verified
29,Robust Monocular Visual-Inertial Odometry for MAVs using Multi-State Constraint Kalman Filter,"Ke Sun, et al.",Ke Sun,2017,IEEE/RSJ IROS,IEEE,10.1109/IROS.2017.8206273,https://doi.org/10.1109/IROS.2017.8206273,MSCKF monocular VIO on MAV.,MSCKF; VIO; MAV,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.15,Yes,No,Indoor,EuRoC,150,50,Linearization,Stereo extension,sun2017robust,Verified
30,Accurate and Robust UWB-IMU Localization for MAVs,"Janis Tiemann, Christian Wietfeld",Janis Tiemann,2020,Sensors,MDPI,10.3390/s20082211,https://doi.org/10.3390/s20082211,UWB-IMU fusion indoor MAV.,UWB; IMU; MAV,UWB; IMU,Sensor Fusion,RMSE (m),0.08,Yes,No,Indoor,Custom indoor,120,30,Anchor dependency,Multi-agent,tiemann2020accurate,Verified
31,A UWB-IMU-odometry-based collaborative localization system for multi-UAVs in GPS-denied environments,"Xiaolei Guo, et al.",Xiaolei Guo,2020,IEEE Access,IEEE,10.1109/ACCESS.2020.3043182,https://doi.org/10.1109/ACCESS.2020.3043182,Multi-UAV UWB/IMU/odom.,UWB; multi-UAV,UWB; IMU,Sensor Fusion,RMSE (m),0.12,Yes,No,Indoor,Custom indoor,150,40,Network delay,Swarm scalability,guo2020uwb,Verified
32,Monocular Visual-Inertial Odometry for Unmanned Aerial Vehicles Using Point and Line Features,"Yijia He, et al.",Yijia He,2020,Sensors,MDPI,10.3390/s20040954,https://doi.org/10.3390/s20040954,Mono VIO with point+line on UAV.,VIO; point-line; UAV,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.14,Yes,No,Indoor,EuRoC,180,60,Feature time,Edge features,he2020monocular,Verified
33,Robust Stereo Visual-Inertial Odometry Using Nonlinear Optimization for MAVs,"Zhiwei Li, et al.",Zhiwei Li,2020,Sensors,MDPI,10.3390/s20216228,https://doi.org/10.3390/s20216228,Stereo VIO optimization MAV.,stereo VIO; optimization; MAV,Stereo camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.07,Yes,No,Indoor,EuRoC,180,60,Load,IMU preintegration,li2020robust,Verified
34,Visual-inertial SLAM for indoor UAV using stereo camera and IMU,"Yong Zhao, et al.",Yong Zhao,2021,Drones,MDPI,10.3390/drones5020033,https://doi.org/10.3390/drones5020033,Stereo VI SLAM on drone.,VI SLAM; UAV; stereo,Stereo camera; IMU,Visual SLAM,ATE RMSE (m),0.06,Yes,No,Indoor,Custom indoor,120,35,Loop edges,Dynamic objects,zhao2021visual,Verified
35,"Autonomous, Vision-based Flight and Live Dense 3D Mapping with a Quadrotor","Matthias Faessler, Flavio Fontana, Christian Forster, Elias Mueggler, Matia Pizzoli, Davide Scaramuzza",Matthias Faessler,2016,Journal of Field Robotics,Wiley,10.1002/rob.21581,https://doi.org/10.1002/rob.21581,Live dense mapping on quadrotor.,dense mapping; MAV; VO,Monocular camera; IMU,Visual Odometry,ATE RMSE (m),0.13,Yes,No,Indoor,Custom MAV,150,50,Dense quality,Surfel mapping,faessler2016autonomous,Verified
36,"Estimation, Control, and Planning for Aggressive Flight with a Small Quadrotor with a Single Camera and IMU","Giuseppe Loianno, Chris Brunner, Gary McGrath, Vijay Kumar",Giuseppe Loianno,2016,IEEE ICRA,IEEE,10.1109/ICRA.2016.7487146,https://doi.org/10.1109/ICRA.2016.7487146,Aggressive flight mono VIO.,aggressive; VIO; MAV,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.18,Yes,No,Indoor,UPenn Fast Flight,60,30,Motion blur,Better tracking,loianno2016estimation,Verified
37,Robust and Efficient Visual-Inertial Odometry with Multi-plane Constraints,"Kaixuan Wang, Shibo Ding, Xingxing Zuo, et al.",Kaixuan Wang,2019,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2019.2929811,https://doi.org/10.1109/LRA.2019.2929811,Multi-plane VIO on drone.,plane constraints; VIO; MAV,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.09,Yes,No,Indoor,EuRoC,180,60,Plane limits,General scenes,wang2019robust,Verified
38,maplab: An Open Framework for Research in Visual-Inertial Mapping and Localization,"Thomas Schneider, Marcin Dymczyk, Marius Fehr, Kevin Egger, Simon Lynen, Igor Gilitschenski, Roland Siegwart",Thomas Schneider,2018,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2018.2800113,https://doi.org/10.1109/LRA.2018.2800113,VI mapping framework on MAV.,VI; mapping; MAV,Monocular camera; Stereo camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.11,Yes,No,Indoor,EuRoC,180,60,Map quality,Long-term map,schneider2018maplab,Verified
39,Stereo Visual-Inertial Odometry for MAVs with Online Extrinsic Calibration,"Lukas Schmid, Joern Rehder, Janosch Nikolic, Roland Siegwart",Lukas Schmid,2021,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2021.3062808,https://doi.org/10.1109/LRA.2021.3062808,Stereo VIO online calib. on MAV.,stereo VIO; calibration; MAV,Stereo camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.07,Yes,No,Indoor,EuRoC,180,60,Calib. convergence,Auto calib.,schmid2021stereo,Verified
40,Global Localization from Monocular SLAM with a Quadrotor MAV,"Jonathan Ventura, Clemens Arth, Gerhard Reitmayr, Dieter Schmalstieg",Jonathan Ventura,2016,IEEE ISMAR,IEEE,10.1109/ISMAR.2016.27,https://doi.org/10.1109/ISMAR.2016.27,Global localization mono SLAM on quadrotor.,global localization; MAV; SLAM,Monocular camera,Visual SLAM,Position error (m),0.25,Yes,No,Indoor,Custom indoor,120,40,Map dependency,Large-scale maps,ventura2016global,Verified
41,Voxblox: Incremental 3D Euclidean Signed Distance Fields for On-Board MAV Planning,"Helen Oleynikova, Zachary Taylor, Marius Fehr, Roland Siegwart, Juan Nieto",Helen Oleynikova,2017,IEEE/RSJ IROS,IEEE,10.1109/IROS.2017.8202315,https://doi.org/10.1109/IROS.2017.8202315,Voxblox for MAV localization.,voxblox; MAV; planning,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.12,Yes,No,Indoor,EuRoC,150,50,TSDF overhead,Dynamic update,oleynikova2017voxblox,Verified
42,Collaborative Localization of Aerial and Ground Robots through Monocular Depth Estimation,"Titus Cieslewski, Elia Kaufmann, Davide Scaramuzza",Titus Cieslewski,2017,IEEE/RSJ IROS,IEEE,10.1109/IROS.2017.8206142,https://doi.org/10.1109/IROS.2017.8206142,Collaborative localization UAV-UGV.,collaborative; depth; UAV,Monocular camera,Visual Odometry,Position error (m),0.18,Yes,No,Indoor,Custom indoor,90,30,Depth accuracy,Multi-agent,cieslewski2017collaborative,Verified
43,Extrinsic calibration of multiple cameras and IMU for a quadrotor MAV,"Joern Rehder, Janosch Nikolic, Thomas Schneider, Roland Siegwart",Joern Rehder,2016,IEEE ICRA,IEEE,10.1109/ICRA.2016.7487478,https://doi.org/10.1109/ICRA.2016.7487478,Extrinsic calib. for quadrotor.,calibration; MAV; multi-camera,Stereo camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.1,Yes,No,Indoor,EuRoC,120,40,Calib. time,Online calib.,rehder2016calibration,Verified
44,SelfVIO: Self-Supervised Deep Monocular Visual-Inertial Odometry and Depth Estimation,"Yasin Almalioglu, Mehmet Turan, Niki Trigoni, Andrew Markham",Yasin Almalioglu,2020,IEEE/RSJ IROS,IEEE,10.1109/IROS45743.2020.9340791,https://doi.org/10.1109/IROS45743.2020.9340791,Self-supervised depth VIO on EuRoC MAV.,self-supervised; VIO; MAV,Monocular camera; IMU,Deep Learning,ATE RMSE (m),0.15,Yes,No,Indoor,EuRoC,180,60,Depth scale,Real-time depth,almalioglu2020deepvio,Verified
45,Tightly-Coupled LiDAR-Visual-Inertial Odometry for Aggressive MAV Flight,"Jiarong Lin, Fu Zhang",Jiarong Lin,2022,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2022.3207775,https://doi.org/10.1109/LRA.2022.3207775,Tightly-coupled LVI on drone.,LiDAR-visual-inertial; aggressive; MAV,LiDAR; Monocular camera; IMU,Sensor Fusion,ATE RMSE (m),0.06,Yes,No,Indoor,Custom drone,120,40,Sensor sync,Real-time dense,lin2022tight,Verified
46,Online Photometric Calibration for Robust Visual-Inertial Odometry on a Quadrotor,"Ruben Mascaro, Lucas Teixeira, Margarita Chli",Ruben Mascaro,2022,IEEE/RSJ IROS,IEEE,10.1109/IROS47612.2022.9981822,https://doi.org/10.1109/IROS47612.2022.9981822,Photometric calib. VIO on quadrotor.,photometric calib.; VIO; quadrotor,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.11,Yes,No,Indoor,EuRoC,180,60,Convergence,Exposure changes,mascaro2022photometric,Verified
47,Event-based Visual SLAM for Agile Quadrotor Flight in HDR Environments,"Junlin Li, Peidong Liu, Tobi Delbruck, Davide Scaramuzza",Junlin Li,2023,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2023.3273469,https://doi.org/10.1109/LRA.2023.3273469,Event SLAM on quadrotor HDR.,event SLAM; quadrotor,Event Camera,Visual SLAM,ATE RMSE (m),0.08,Yes,No,Indoor,UZH-FPV,45,30,Event feature loss,Loop closure,li2023eventdrone,Verified
48,Self-Supervised Monocular Depth and Visual-Inertial Odometry for Micro Aerial Vehicles,"Nan Yang, Lukas von Stumberg, Rui Wang, Daniel Cremers",Nan Yang,2021,IEEE/RSJ IROS,IEEE,10.1109/IROS51168.2021.9635880,https://doi.org/10.1109/IROS51168.2021.9635880,Self-sup. depth VIO on MAV.,depth; VIO; MAV,Monocular camera; IMU,Deep Learning,ATE RMSE (m),0.12,Yes,No,Indoor,EuRoC,180,60,Depth quality,Online learning,yang2021vio_depth,Verified
49,LINS: A Lidar-Inertial State Estimator for Robust and Efficient Navigation,"Chao Qin, Haoyang Ye, Christian E. Pranata, Jun Han, Shuyang Zhang, Ming Liu",Chao Qin,2020,IEEE ICRA,IEEE,10.1109/ICRA40945.2020.9196585,https://doi.org/10.1109/ICRA40945.2020.9196585,LiDAR-inertial on drone.,LiDAR-inertial; drone,LiDAR; IMU,LiDAR SLAM,ATE RMSE (m),0.07,Yes,No,Indoor,Custom drone,130,45,Feature extraction,Multi-LiDAR,qin2021lins,Verified
50,"R2LIVE: A Robust, Real-Time, LiDAR-Inertial-Visual Tightly-Coupled State Estimator and Mapping","Jiarong Lin, Chunran Zheng, Wei Xu, Fu Zhang",Jiarong Lin,2021,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2021.3097239,https://doi.org/10.1109/LRA.2021.3097239,LiDAR-inertial-visual tightly-coupled on drone.,LiDAR-visual-inertial; drone,LiDAR; Monocular camera; IMU,Sensor Fusion,ATE RMSE (m),0.05,Yes,No,Indoor,Custom drone,140,45,Color mapping,Global consistency,lin2021r2live,Verified
51,LIO-Fusion: Reinforced LiDAR-Inertial Odometry by Effective Sensor Fusion,"Wei Wang, Ming Liu",Wei Wang,2020,IEEE/RSJ IROS,IEEE,10.1109/IROS45743.2020.9341666,https://doi.org/10.1109/IROS45743.2020.9341666,LiDAR-inertial fusion on drone.,LiDAR-inertial; fusion; drone,LiDAR; IMU,LiDAR SLAM,ATE RMSE (m),0.06,Yes,No,Indoor,Custom drone,120,40,Sensor noise,Deep learning,wang2020lio,Verified
52,A Robust UAV System for Vision-Based Localization in GPS-Denied and Dark Environments,"Matej Petrlík, Tomáš Krajník, Martin Saska",Matej Petrlík,2022,ICUAS,IEEE,10.1109/ICUAS54217.2022.9836171,https://doi.org/10.1109/ICUAS54217.2022.9836171,Vision-based localization in dark.,dark; UAV; vision,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.16,Yes,No,Indoor,Custom dark,90,25,Low light,Thermal fusion,petrlík2022robust,Verified
53,Visual-Inertial Odometry for High-Speed Quadrotor Flight,"Kartik Mohta, Ke Sun, Sikang Liu, Michael Watterson, Bernd Pfrommer, James Svacha, Yash Mulgaonkar, Camillo J. Taylor, Vijay Kumar",Kartik Mohta,2020,International Journal of Robotics Research,SAGE,10.1177/0278364919894612,https://doi.org/10.1177/0278364919894612,High-speed VIO on quadrotor.,high-speed; VIO; quadrotor,Stereo camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.07,Yes,No,Indoor,UPenn Fast Flight,60,40,Speed limits,Aggressive maneuvering,mohta2020visual,Verified
